transaction_id,user_id,timestamp,amount,merchant,category,device,ip_address,is_fraud
TXN0000001,U00655,2025-11-29 20:21:29.121256,37.54,ElectroShop,fashion,mobile,192.168.114.71,0
TXN0000002,U00693,2025-12-20 22:02:46.121256,240.81,LocalStore,utilities,mobile,192.168.15.47,0
TXN0000003,U00518,2025-12-23 16:03:02.121256,105.34,LocalStore,electronics,tablet,192.168.214.112,0
TXN0000004,U00285,2025-11-24 18:13:10.121256,78.04,ElectroShop,utilities,desktop,192.168.142.79,0
TXN0000005,U00782,2025-12-10 18:48:32.121256,13.57,Walmart,utilities,mobile,192.168.183.176,0
TXN0000006,U00045,2025-12-16 17:55:00.121256,13.57,BigMart,grocery,tablet,192.168.150.185,0
TXN0000007,U00722,2025-11-27 19:41:08.121256,4.79,ElectroShop,electronics,desktop,192.168.40.119,0
TXN0000008,U00390,2025-12-07 22:30:38.121256,180.9,ElectroShop,fashion,mobile,192.168.189.181,0
TXN0000009,U00274,2025-11-27 21:50:16.121256,78.53,LocalStore,electronics,mobile,192.168.236.194,0
TXN0000010,U00656,2025-12-21 11:32:29.121256,103.5,ElectroShop,fashion,mobile,192.168.117.16,0
TXN0000011,U00411,2025-12-07 10:35:19.121256,1.66,Amazon,entertainment,tablet,192.168.161.108,0
TXN0000012,U00406,2025-12-16 17:14:57.121256,285.28,Flipkart,electronics,mobile,192.168.134.219,0
TXN0000013,U00409,2025-12-12 00:24:16.121256,147.91,Amazon,entertainment,desktop,192.168.46.24,0
TXN0000014,U00157,2025-12-02 05:02:26.121256,39.1,LocalStore,grocery,desktop,192.168.195.239,0
TXN0000015,U00567,2025-11-25 00:01:27.121256,16.05,ElectroShop,entertainment,desktop,192.168.174.57,0
TXN0000016,U00162,2025-12-16 11:16:28.121256,16.21,ElectroShop,fashion,tablet,192.168.91.54,0
TXN0000017,U00306,2025-12-19 02:07:05.121256,34.02,Amazon,fashion,mobile,192.168.0.165,0
TXN0000018,U00115,2025-12-12 01:33:04.121256,69.51,Amazon,grocery,mobile,192.168.40.43,0
TXN0000019,U00071,2025-12-20 07:17:44.121256,50.24,Amazon,utilities,tablet,192.168.84.135,0
TXN0000020,U00622,2025-12-14 23:38:22.121256,32.54,LocalStore,electronics,tablet,192.168.159.204,0
TXN0000021,U00666,2025-12-12 13:42:52.121256,95.71,LocalStore,utilities,mobile,192.168.126.115,0
TXN0000022,U00022,2025-12-23 00:04:38.121256,17.02,LocalStore,electronics,mobile,192.168.36.30,0
TXN0000023,U00033,2025-12-10 11:37:30.121256,27.64,LocalStore,electronics,desktop,192.168.248.109,0
TXN0000024,U00741,2025-12-22 03:57:41.121256,56.5,Amazon,utilities,desktop,192.168.97.48,1
TXN0000025,U00442,2025-12-11 15:26:04.121256,68.71,BigMart,utilities,tablet,192.168.27.50,0
TXN0000026,U00746,2025-12-10 21:57:51.121256,123.03,Amazon,electronics,mobile,192.168.229.71,0
TXN0000027,U00286,2025-12-16 21:38:55.121256,22.82,Walmart,utilities,tablet,192.168.50.25,0
TXN0000028,U00554,2025-11-25 03:50:31.121256,57.76,Amazon,electronics,desktop,192.168.248.246,0
TXN0000029,U00411,2025-11-27 06:57:47.121256,76.8,BigMart,grocery,desktop,192.168.135.232,0
TXN0000030,U00714,2025-12-21 10:09:54.121256,23.81,Amazon,electronics,desktop,192.168.111.29,0
TXN0000031,U00556,2025-11-27 09:40:07.121256,84.83,Walmart,grocery,tablet,192.168.244.80,0
TXN0000032,U00521,2025-11-28 07:59:04.121256,19.96,Walmart,entertainment,mobile,192.168.120.206,0
TXN0000033,U00584,2025-12-06 09:30:35.121256,5.38,LocalStore,grocery,desktop,192.168.161.133,0
TXN0000034,U00734,2025-12-09 16:41:55.121256,242.9,Flipkart,utilities,mobile,192.168.153.234,0
TXN0000035,U00770,2025-11-27 23:10:00.121256,269.65,BigMart,entertainment,tablet,192.168.51.37,0
TXN0000036,U00519,2025-12-07 07:37:44.121256,137.19,Flipkart,grocery,mobile,192.168.189.145,0
TXN0000037,U00557,2025-12-09 03:06:21.121256,29.06,ElectroShop,entertainment,desktop,192.168.53.68,0
TXN0000038,U00110,2025-12-21 07:12:01.121256,13.22,Flipkart,fashion,tablet,192.168.107.175,0
TXN0000039,U00650,2025-12-07 06:12:41.121256,112.22,Flipkart,grocery,mobile,192.168.216.141,1
TXN0000040,U00342,2025-11-30 19:03:50.121256,56.41,Amazon,utilities,tablet,192.168.218.4,0
TXN0000041,U00708,2025-12-01 16:18:31.121256,10.41,Flipkart,entertainment,tablet,192.168.75.220,0
TXN0000042,U00316,2025-12-12 03:29:52.121256,54.68,Flipkart,electronics,tablet,192.168.127.52,0
TXN0000043,U00574,2025-12-14 04:06:43.121256,7.8,Amazon,electronics,mobile,192.168.211.12,0
